編號,單字,中文解釋,用法整理 (固定搭配 / 常見搭配)
1,résumé,n. 履歷表,常見搭配：submit / fax / send a résumé (提交/傳真/寄送履歷)
2,opening,n. 空缺、職缺；開張,常見搭配：job openings (職位空缺)常見搭配：the opening of its first branch (分公司開始營業)固定搭配：an opening (空缺，必加冠詞且為可數)
3,applicant,n. 申請者、應徵者,常見搭配：Applicants are required to... (要求應徵者...)常見搭配：complete / submit / receive an application (填寫/提交/收到申請書)
4,requirement,n. 必要條件,固定搭配：a requirement of / for (…的必要條件)
5,meet,v. 滿足、符合,常見搭配：meet one's needs / requirements (滿足需求/符合必要條件)常見搭配：meet customer demand / expectations (滿足顧客需求/符合期待)
6,qualified,adj. 有資格的、勝任的,固定搭配：be qualified for (有…的資格)固定搭配：qualifications for (…的資格)
7,candidate,n. 候選人、應徵者,常見搭配：be selected as a candidate (被選為候選人)
8,confidence,n. 信心、自信,常見搭配：show / express confidence (表現出信心)固定搭配：confidence in (對…的信心)固定搭配：in confidence (秘密地)
9,highly,adv. 很、非常,常見搭配：highly + competent / recommended / qualified / competitive (非常...的)
10,professional,adj. 專業的；n. 專家,常見搭配：professional photographer / certified health professional (專業攝影師/有證照的醫療專業人士)
11,interview,n. 面試；v. 面試,常見搭配：the interviews are being held (面試正在舉行)常見搭配：interview applicants (面試應徵者)
12,hire,v. 雇用,常見搭配：hire several new employees (雇用幾名新員工)
13,training,n. 訓練,常見搭配：on-the-job training (在職訓練)
14,reference,n. 推薦信；參考,常見搭配：write a reference (寫一封推薦信)常見搭配：reference material (參考資料)
15,position,n. 職位；v. 放置,常見搭配：accept / apply for a position (接受/應徵職位)常見搭配：position the chairs (把椅子擺放好)
16,achievement,n. 成就、達成,常見搭配：list all of your achievements (列出所有成就)
17,impressed,adj. 感到印象深刻的,固定搭配：be impressed by / with (對…感到印象深刻)
18,excellent,adj. 優秀的、傑出的,常見搭配：excellent managerial skills (優秀的管理能力)
19,eligible,adj. 有資格的、合適的,固定搭配：be eligible for + 名詞 (有資格獲得...)固定搭配：be eligible to do (有資格做...)
20,identify,v. 辨認、認出,常見搭配：easy for customers to identify (讓顧客容易認出)
21,associate,v. 使有關聯,固定搭配：be associated with (和…有關聯)固定搭配：in association with (和…聯合)
22,condition,n. 條件,常見搭配：conditions of employment (雇用條件)
23,employment,n. 雇用,常見搭配：employment opportunities (工作機會)
24,lack,v./n. 缺乏,常見搭配：lack the ability (缺乏能力)固定搭配：a lack of (…的缺乏)
25,managerial,adj. 管理的,常見搭配：managerial staff / experience (管理人員/管理經驗)
26,diligent,adj. 勤奮的,常見搭配：one of the most diligent workers (最勤奮的員工之一)
27,familiar,adj. 熟悉的,固定搭配：be familiar with (對…熟悉)
28,proficiency,n. 熟練、精通,常見搭配：proficiency in a second language (精通第二語言)
29,prospective,adj. 預期的、未來的,常見搭配：Prospective employees (有可能成為員工的人)
30,appeal,v. 呼籲、有吸引力,固定搭配：appeal to + 名詞 (向…呼籲、對…有吸引力)
31,specialize,v. 專攻、專門從事,固定搭配：specialize in (專攻…/專門從事…)
32,apprehensive,adj. 擔心的、憂慮的,常見搭配：feel apprehensive before... (在…之前感到憂慮)
33,consultant,n. 顧問,常見搭配：consult + 專家 (諮詢某人)固定搭配：consult with + 對等對象 (和某人商議)
34,entitle,v. 給…權利,固定搭配：be entitled to + 名詞 (有得到…的權利)固定搭配：be entitled to do (有做…的權利)
35,degree,n. 學位,常見搭配：a bachelor's degree in engineering (工程學士學位)
36,payroll,n. 薪水帳冊、發薪名單,固定搭配：on the payroll (是某公司的員工)
37,recruit,v. 招募 (新進人員),常見搭配：recruit promising graduates (招募前途看好的畢業生)
38,certification,n. (資格) 證明,常見搭配：professional certification (專業資格證明)常見搭配：a birth certificate (出生證明)
39,occupation,n. 職業,常見搭配：interesting and challenging occupation (有趣且具挑戰性的職業)
40,wage,n. 工資、薪水,常見搭配：earn higher wages (賺取更高的工資)
