編號,單字 (中英),固定搭配 / 常見搭配整理
1,equipment (n. 設備，裝備),常見搭配： office equipment (辦公設備)
2,automate (v. 自動化),(圖片未標註特定用法)
3,specification (n. 明細單，規格),(圖片未標註特定用法)
4,properly (adv. 適當地，正確地),常見搭配： operate properly (正常運作)
5,safety (n. 安全),常見搭配： safety precautions / regulations (安全預防措施 / 規定)
6,precaution (n. 預防措施),(圖片未標註特定用法)
7,operate (v. 運作，操作),(圖片未標註特定用法)
8,processing (n. 加工，處理),(圖片未標註特定用法)
9,capacity (n. 能力；容量),常見搭配： be filled to capacity (裝到滿)、expand the capacity (擴大容量)、limited capacity (有限的容量)、storage capacity (儲存容量)
10,assemble (v. 組裝；召集),常見搭配： assembly line (組裝線)、assembly plant (組裝廠)
11,utilize (v. 利用),(圖片未標註特定用法)
12,place (v. 使處於某種狀態，下指示),固定搭配： place A on standby (使 A 處於待命狀態)  常見搭配： place an order (下訂單)
13,fill (v. 裝滿；滿足要求),固定搭配： fill A with B (用 B 裝滿 A)  常見搭配： fill an order (供應訂單要求)、fill the position (填補職缺)
14,manufacturing (adj. 製造(業)的),(圖片未標註特定用法)
15,renovate (v. 翻新，翻修),(圖片未標註特定用法)
16,decision (n. 決定),常見搭配： make a decision about (做出關於...的決定)
17,material (n. 材料，料子),(圖片未標註特定用法)
18,success (n. 成功，成就),(圖片未標註特定用法)
19,attribute (v. 把...歸因於),固定搭配： attribute A to B (把 A 歸因於 B)、A is attributed to B (A 被歸因於 B)
20,efficiency (n. 效率，效能),常見搭配： office efficiency (辦公效率)、energy efficiency (能源效率)
21,limit (n. 限制，界限),(圖片未標註特定用法)
22,tailored (adj. 量身訂做的),(圖片未標註特定用法)
23,component (n. 零件，構成要素),(圖片未標註特定用法)
24,capable (adj. 有能力的),固定搭配： be capable of -ing (有能力做...)
25,economize (v. 節約，節省),(圖片未標註特定用法)
26,flexible (adj. 柔軟的，可變通的),(圖片未標註特定用法)
27,comparable (adj. 可比較的，比得上的),固定搭配： be comparable to (可以和…比較、和…比得上)
28,produce (v. 生產),(圖片未標註特定用法)
29,respectively (adv. 分別，各自),(圖片未標註特定用法)
30,device (n. 裝置),(圖片未標註特定用法)
31,trim (v. 修剪，削減),(圖片未標註特定用法)
32,launch (v. 使新產品上市),(圖片未標註特定用法)
33,separately (adv. 分別地),常見搭配： be made separately (被分別製作)、be ordered separately (被分別訂購)
34,expiration (n. 到期，期滿),(圖片未標註特定用法)
35,maneuver (v. 調動),(圖片未標註特定用法)
36,coming (adj. 即將到來的),(圖片未標註特定用法)
37,damaged (adj. 受損的),(圖片未標註特定用法)
38,prevent (v. 預防，防止),固定搭配： prevent A from -ing (防止 A 做…)
39,power (n. 力量，電力),常見搭配： power supply (電力供應)、power plant (發電廠)、a powerful engine (強力的引擎)
40,chemical (n. 化學製品),(圖片未標註特定用法)
