編號,單字 (英文 / 中文),固定用法與常見搭配
1,complaint (n.) 抱怨,常見搭配：make complaints against (提出對於…的抱怨)常見搭配：file a complaint with (投訴…)
2,deal (v./n.) 處理；交易,固定用法：deal with (處理問題等)常見搭配：a good deal (有利/划算的交易)常見搭配：a great deal of (大量的)
3,argumentative (adj.) 爭辯的,(無標示特定搭配，請區分 argumentative 與 arguable)
4,appropriately (adv.) 適當地,(無標示特定搭配)
5,respond (v.) 答覆,固定用法：respond to + 詢問/投訴 (不及物動詞用法)
6,infuriate (v.) 激怒,(無標示特定搭配)
7,courteous (adj.) 有禮貌的,(無標示特定搭配)
8,satisfaction (n.) 滿意,常見搭配：to one's satisfaction (令…滿意的)常見搭配：customer satisfaction (顧客滿意)常見搭配：satisfaction survey (滿意度調查)
9,inconvenience (n./v.) 不便,固定用法：inconvenience + 人 (對…造成不便)
10,complete (v./adj.) 完成；完整的,常見搭配：complete a survey/an application (完成調查問卷/寫好申請書)
11,specific (adj.) 具體的,(無標示特定搭配)
12,return (v.) 歸還,(無標示特定搭配)
13,replace (v.) 取代,固定用法：replace A with B (用 B 代替 A)固定用法：substitute B for A (用 B 代替 A)
14,presentation (n.) 簡報,(無標示特定搭配)
15,evaluation (n.) 評價,常見搭配：performance evaluation (表現評價)常見搭配：course evaluation (課程評價)
16,confident (adj.) 有自信的,常見搭配：with a confident manner (用有自信的態度)
17,cause (v./n.) 引起；原因,常見搭配：cause + damage/malfunction/delay (造成損害/故障/延遲)
18,commentary (n.) 評論,(無標示特定搭配)
19,notification (n.) 通知,常見搭配：notification of (關於…的通知)
20,apologize (v.) 道歉,固定用法：apologize for + 原因 (為了…道歉)固定用法：apologize to + 人 (向某人道歉)
21,interact (v.) 互動,固定用法：interacting with (與…溝通/互動)
22,certain (adj.) 確定的,(無標示特定搭配)
23,commitment (n.) 投身；致力,常見搭配：commitment to (對…的投入)常見搭配：be committed to (投入…)
24,applaud (v.) 稱讚,(無標示特定搭配)
25,biography (n.) 傳記,(無標示特定搭配)
26,critical (adj.) 批評的；關鍵的,常見搭配：be critical of (對…不滿/挑剔)
27,depend on (phr.) 依賴；取決於,(無標示特定搭配)
28,combine (v.) 使結合,(無標示特定搭配)
29,priority (n.) 優先（權）,(無標示特定搭配)
30,observe (v.) 遵守；觀察,常見搭配：observe safety regulations (遵守安全規定)常見搭配：observe guidelines (遵守指導方針)
31,defective (adj.) 有缺陷的,(無標示特定搭配)
32,reflect (v.) 反映,(無標示特定搭配)
33,attitude (n.) 態度,(無標示特定搭配)
34,disappoint (v.) 使失望,(無標示特定搭配)
35,inquire (v.) 詢問,(無標示特定搭配)
36,insert (v.) 插入,常見搭配：insert A into B (將 A 插入 B)
37,disclose (v.) 公開；透露,固定用法：disclose + 受詞 (及物動詞，不可接介係詞)
38,guarantee (v./n.) 保證,常見搭配：guarantee of (對於…的保證)
39,politely (adv.) 禮貌地,(無標示特定搭配)
40,seriously (adv.) 認真地,常見搭配：take A seriously (認真看待 A)
