編號	單字 (詞性)	中文解釋	固定用法 / 常見搭配
1	proposal (n.)	提案，提議	常見搭配： submit a proposal (提出提案)
2	alliance (n.)	同盟，聯盟	(無標示特定搭配)
3	stipulation (n.)	契約規定	(無標示特定搭配)
4	term (n.)	條款；任期	常見搭配： terms and conditions (契約條款)、in terms of (就...而言)、long-term (長期的)
5	compromise (n./v.)	妥協，折衷	(無標示特定搭配)
6	negotiation (n.)	談判，協商	(無標示特定搭配)
7	agreement (n.)	協議，同意	常見搭配： come to/reach an agreement (達成協議)
8	deadlock (n.)	僵局	(無標示特定搭配)
9	review (v.)	再檢查，審查	(無標示特定搭配)
10	contract (n./v.)	合約；簽約	常見搭配： contract out A to B (把 A 外包給 B)
11	signature (n.)	簽名	(無標示特定搭配)
12	originally (adv.)	原來，起初	(無標示特定搭配)
13	direction (n.)	方向，指示	(無標示特定搭配)
14	initially (adv.)	起初	(無標示特定搭配)
15	expire (v.)	期滿	常見搭配： observe expiration date (遵守截止日期)
16	collaborate (v.)	合作	
固定用法： collaborate on + 內容 (在某方面合作) 


 固定用法： collaborate with + 人 (和某人合作)

17	dedicate (v.)	奉獻，致力於	固定用法： be dedicated to + V-ing/N (致力於...)
18	revised (adj.)	修改過的	(無標示特定搭配)
19	imperative (adj.)	必要的	固定用法： It is imperative that 主詞 (+ should) + 動詞原形
20	cooperatively (adv.)	合作地	常見搭配： in cooperation with (和...合作)
21	commission (n./v.)	佣金；委任	(無標示特定搭配)
22	omit (v.)	遺漏，省略	(無標示特定搭配)
23	conflict (n.)	衝突，不一致	(無標示特定搭配)
24	renew (v.)	更新（合約等）	常見搭配： renew + contract/license/subscription (更新合約/執照/續訂)
25	proficient (adj.)	熟練的，精通的	(無標示特定搭配)
26	confidentiality (n.)	機密	(無標示特定搭配)
27	dispute (n.)	爭論，爭執	常見搭配： dispute over (爭論...)
28	objection (n.)	反對，異議	(無標示特定搭配)
29	define (v.)	定義，界定	(無標示特定搭配)
30	impression (n.)	印象	(無標示特定搭配)
31	security (n.)	安全，保全	(無標示特定搭配)
32	option (n.)	選擇，選擇權	(無標示特定搭配)
33	proceed (v.)	進行，繼續	固定用法： proceed with (繼續進行...)
34	modify (v.)	修改，更改	(無標示特定搭配)
35	narrow (v.)	縮小（範圍）	固定用法： narrow down A to B (把 A 縮小到 B，務必搭配 to)
36	bid (n./v.)	出價，投標	固定用法： 必須搭配介系詞 for (bid for / put in a bid for)
37	settle (v.)	解決，和解	(無標示特定搭配)
38	terminate (v.)	結束，終止	(無標示特定搭配)
39	challenging (adj.)	有挑戰性的	常見搭配： challenging project (有挑戰性的工程)
40	foundation (n.)	基礎；建立	常見搭配： serve as the foundation (作為基礎)、lay the foundation (奠定基礎)
